rowid	id_ultimate_parent	name_ultimate_parent	id_direct_loantaker	name_direct_loantaker	sector_classification_system	sector_classification_direct_loantaker	id_2dii	level	sector	sector_ald	name	name_ald	score	source
79	UP204	Parque De Generacion Aguaprieta Sapi De Cv	C144	Nanjing Chemical Industries Co Ltd	"NACE"	3511	UP204	ultimate_parent	power	power	Parque De Generacion Aguaprieta Sapi De Cv	parque de generacion aguaprieta sapi de cv	1	loanbook
79	UP204	Parque De Generacion Aguaprieta Sapi De Cv	C144	Nanjing Chemical Industries Co Ltd	"NACE"	3511	DL143	direct_loantaker	power	power	Nanjing Chemical Industries Co Ltd	nanjing chemical industries co ltd	1	loanbook
80	UP151	Jp Jewellers	C143	Naniwa Energy Llc	"NACE"	3511	UP151	ultimate_parent	power	power	Jp Jewellers	jp jewellers	1	loanbook
80	UP151	Jp Jewellers	C143	Naniwa Energy Llc	"NACE"	3511	DL142	direct_loantaker	power	power	Naniwa Energy Llc	naniwa energy llc	1	loanbook
81	UP293	Vier Industry And Trade Mate Ltd	C142	Nandi Roller Flour Mills Pvt. Ltd.	"NACE"	3511	UP293	ultimate_parent	power	power	Vier Industry And Trade Mate Ltd	vier industry and trade mate ltd	1	loanbook
81	UP293	Vier Industry And Trade Mate Ltd	C142	Nandi Roller Flour Mills Pvt. Ltd.	"NACE"	3511	DL141	direct_loantaker	power	power	Nandi Roller Flour Mills Pvt. Ltd.	nandi roller flour mills pvt. ltd.	1	loanbook
82	UP88	Elaqua Ag	C141	Nandhi Spinning Mills Private Limited	"NACE"	3511	UP88	ultimate_parent	power	power	Elaqua Ag	elaqua ag	1	loanbook
82	UP88	Elaqua Ag	C141	Nandhi Spinning Mills Private Limited	"NACE"	3511	DL140	direct_loantaker	power	power	Nandhi Spinning Mills Private Limited	nandhi spinning mills private limited	1	loanbook
83	UP135	Innovent Sas	C140	Nandan Wind Energy Development	"NACE"	3511	UP135	ultimate_parent	power	power	Innovent Sas	innovent sas	1	loanbook
83	UP135	Innovent Sas	C140	Nandan Wind Energy Development	"NACE"	3511	DL139	direct_loantaker	power	power	Nandan Wind Energy Development	nandan wind energy development	1	loanbook
84	UP263	Standard Solar Inc	C139	Mom and Pop Family Business	"NACE"	3511	UP263	ultimate_parent	power	power	Standard Solar Inc	standard solar inc	1	loanbook
85	UP160	Kksk Sharira Wind	C138	Nanchong Electric Power Development Co., Ltd.	"NACE"	3511	UP160	ultimate_parent	power	power	Kksk Sharira Wind	kksk sharira wind	1	loanbook
85	UP160	Kksk Sharira Wind	C138	Nanchong Electric Power Development Co., Ltd.	"NACE"	3511	DL138	direct_loantaker	power	power	Nanchong Electric Power Development Co., Ltd.	nanchong electric power development co., ltd.	1	loanbook
86	UP1	Aba Hydropower Generation Co Ltd	C137	Nanaimo Forest Products Ltd.	"NACE"	3511	UP1	ultimate_parent	power	power	Aba Hydropower Generation Co Ltd	aba hydropower generation co ltd	1	loanbook
86	UP1	Aba Hydropower Generation Co Ltd	C137	Nanaimo Forest Products Ltd.	"NACE"	3511	DL137	direct_loantaker	power	power	Nanaimo Forest Products Ltd.	nanaimo forest products ltd.	1	loanbook
87	UP256	Song Ba Joint Stock Company	C136	Nana Layja Power Co. Ltd.	"NACE"	3511	UP256	ultimate_parent	power	power	Song Ba Joint Stock Company	song ba joint stock company	1	loanbook
87	UP256	Song Ba Joint Stock Company	C136	Nana Layja Power Co. Ltd.	"NACE"	3511	DL136	direct_loantaker	power	power	Nana Layja Power Co. Ltd.	nana layja power co. ltd.	1	loanbook
88	UP116	Guohua (Tongliao) Wind Power Co., Ltd.	C135	Nampower	"NACE"	3511	UP116	ultimate_parent	power	power	Guohua (Tongliao) Wind Power Co., Ltd.	guohua (tongliao) wind power co., ltd.	1	loanbook
88	UP116	Guohua (Tongliao) Wind Power Co., Ltd.	C135	Nampower	"NACE"	3511	DL135	direct_loantaker	power	power	Nampower	nampower	1	loanbook
89	UP300	Warmeverbundkraftwerk Freiburg Gmbh	C134	Nammo Liab Ab	"NACE"	3511	UP300	ultimate_parent	power	power	Warmeverbundkraftwerk Freiburg Gmbh	warmeverbundkraftwerk freiburg gmbh	1	loanbook
89	UP300	Warmeverbundkraftwerk Freiburg Gmbh	C134	Nammo Liab Ab	"NACE"	3511	DL134	direct_loantaker	power	power	Nammo Liab Ab	nammo liab ab	1	loanbook
90	UP312	Zhejiang Electric Power Industry Bureau	C133	Namhae Energy	"NACE"	3511	UP312	ultimate_parent	power	power	Zhejiang Electric Power Industry Bureau	zhejiang electric power industry bureau	1	loanbook
90	UP312	Zhejiang Electric Power Industry Bureau	C133	Namhae Energy	"NACE"	3511	DL133	direct_loantaker	power	power	Namhae Energy	namhae energy	1	loanbook
91	UP141	Jericho Rise Wind Farm, Llc	C132	Namgis First Nation	"NACE"	3511	UP141	ultimate_parent	power	power	Jericho Rise Wind Farm, Llc	jericho rise wind farm, llc	1	loanbook
91	UP141	Jericho Rise Wind Farm, Llc	C132	Namgis First Nation	"NACE"	3511	DL132	direct_loantaker	power	power	Namgis First Nation	namgis first nation	1	loanbook
92	UP214	Power Electronics Ltd.	C131	Nama Holding Company Saoc	"NACE"	3511	UP214	ultimate_parent	power	power	Power Electronics Ltd.	power electronics ltd.	1	loanbook
92	UP214	Power Electronics Ltd.	C131	Nama Holding Company Saoc	"NACE"	3511	DL131	direct_loantaker	power	power	Nama Holding Company Saoc	nama holding company saoc	1	loanbook
93	UP14	Allianz Capital Partners Gmbh	C130	Nam Lum Hydroelectric	"NACE"	3511	UP14	ultimate_parent	power	power	Allianz Capital Partners Gmbh	allianz capital partners gmbh	1	loanbook
93	UP14	Allianz Capital Partners Gmbh	C130	Nam Lum Hydroelectric	"NACE"	3511	DL130	direct_loantaker	power	power	Nam Lum Hydroelectric	nam lum hydroelectric	1	loanbook
94	UP31	Bhagawati Hydropower Development Company	C129	Nam Long Power Co., Ltd.	"NACE"	3511	UP31	ultimate_parent	power	power	Bhagawati Hydropower Development Company	bhagawati hydropower development company	1	loanbook
94	UP31	Bhagawati Hydropower Development Company	C129	Nam Long Power Co., Ltd.	"NACE"	3511	DL129	direct_loantaker	power	power	Nam Long Power Co., Ltd.	nam long power co., ltd.	1	loanbook
95	UP240	Sembcorp Utilities (Uk) Ltd	C128	Nam Chien Hydropower Joint Stock Company	"NACE"	3511	DL128	direct_loantaker	power	power	Nam Chien Hydropower Joint Stock Company	nam chien hydropower joint stock company	1	loanbook
96	UP277	Tolsa S.A.	C127	Nalsing Gad Hydropower Development Committee	"NACE"	3511	DL127	direct_loantaker	power	power	Nalsing Gad Hydropower Development Committee	nalsing gad hydropower development committee	1	loanbook
97	UP158	Kaytee Apex Pvt. Ltd.	C126	Nalini Properties Pvt. Ltd.	"NACE"	3511	UP158	ultimate_parent	power	power	Kaytee Apex Pvt. Ltd.	kaytee apex pvt. ltd.	1	loanbook
97	UP158	Kaytee Apex Pvt. Ltd.	C126	Nalini Properties Pvt. Ltd.	"NACE"	3511	DL126	direct_loantaker	power	power	Nalini Properties Pvt. Ltd.	nalini properties pvt. ltd.	1	loanbook
98	UP64	City Maebashi	C124	Nagreeka Foils Ltd	"NACE"	3511	UP64	ultimate_parent	power	power	City Maebashi	city maebashi	1	loanbook
98	UP64	City Maebashi	C124	Nagreeka Foils Ltd	"NACE"	3511	DL124	direct_loantaker	power	power	Nagreeka Foils Ltd	nagreeka foils ltd	1	loanbook
99	UP44	Cattle Farm Ubbels	C123	Nagpur Tools Pvt. Ltd.	"NACE"	3511	UP44	ultimate_parent	power	power	Cattle Farm Ubbels	cattle farm ubbels	1	loanbook
99	UP44	Cattle Farm Ubbels	C123	Nagpur Tools Pvt. Ltd.	"NACE"	3511	DL123	direct_loantaker	power	power	Nagpur Tools Pvt. Ltd.	nagpur tools pvt. ltd.	1	loanbook
100	UP37	Bombay Crimper	C122	Nagina Cotton Mills Ltd	"NACE"	3511	UP37	ultimate_parent	power	power	Bombay Crimper	bombay crimper	1	loanbook
100	UP37	Bombay Crimper	C122	Nagina Cotton Mills Ltd	"NACE"	3511	DL122	direct_loantaker	power	power	Nagina Cotton Mills Ltd	nagina cotton mills ltd	1	loanbook
